"","rep(abund.nosub.asv$ASV, times = 3)","adjusted_pval","Treatment","l2fc","Mean_Abundance","significant","OTUNumber","Doman","Phylum","Class","Order","Family","Genus","Genus_OTU","Family_Genus_OTU","Family_OTU","significant1","fontface","l2fcSE"
"2","Otu00002",0.00433675800633005,"Heated",1.29277138137765,17488.3333333333,"Y","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00002","Alteromonadaceae_Alteromonas_Otu00002","Alteromonadaceae_Otu00002","Y","bold",0.353918953811491
"8","Otu00008",0.0129392111070423,"Heated",-1.15038369952332,1453.33333333333,"Y","Otu00008","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60","OM60_Otu00008","Halieaceae_OM60_Otu00008","Halieaceae_Otu00008","Y","bold",0.352651662017329
"9","Otu00009",0.394042970793938,"Heated",-1.29396515118806,1653,"N","Otu00009","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","OM43_clade","OM43_clade_Otu00009","Methylophilaceae_OM43_clade_Otu00009","Methylophilaceae_Otu00009","Y","bold",0.733515677995329
"21","Otu00027",0.502999498711139,"Heated",-0.714319687312275,951,"N","Otu00027","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","Litoricola_Otu00027","Litoricolaceae_Litoricola_Otu00027","Litoricolaceae_Otu00027","Y","bold",0.496788947061641
"31","Otu00048",0.000425106850124648,"Heated",1.56096469335413,3282.66666666667,"Y","Otu00048","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","Aestuariibacter_Otu00048","Alteromonadaceae_Aestuariibacter_Otu00048","Alteromonadaceae_Otu00048","Y","bold",0.364174906943865
"36","Otu00058",0.0488839756793183,"Heated",-2.52360759980856,306.666666666667,"Y","Otu00058","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00058","NS9_marine_group_NS9_marine_group_ge_Otu00058","NS9_marine_group_Otu00058","Y","bold",0.899313283299459
"41","Otu00075",0.116574727760467,"Heated",2.55252893131879,2021.66666666667,"N","Otu00075","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Otu00075","Y","bold",1.05903329601619
"44","Otu00085",0.16842938450021,"Heated",1.96513011746007,1925.33333333333,"N","Otu00085","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Otu00085","Y","bold",0.890625602204865
"47","Otu00101",0.0999735855344957,"Heated",2.18507755260998,346,"N","Otu00101","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00101","Saprospiraceae_uncultured_Otu00101","Saprospiraceae_Otu00101","Y","bold",0.87796059834057
"56","Otu00179",3.02652346326822e-06,"Heated",-8.97783485615289,0,"Y","Otu00179","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Otu00179","Y","bold",1.68739790604692
"57","Otu00181",0.696279630217857,"Heated",0.777680009883446,814.333333333333,"N","Otu00181","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Otu00181","Y","bold",0.792948684679973
"61","Otu00195",0.0133868147173969,"Heated",1.36905000005295,470,"Y","Otu00195","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00195","Alteromonadaceae_Alteromonas_Otu00195","Alteromonadaceae_Otu00195","Y","bold",0.424477595199534
"76","Otu00277",0.00507304579464259,"Heated",1.8204522481837,531,"Y","Otu00277","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_Otu00277","Flavobacteriaceae_uncultured_Otu00277","Flavobacteriaceae_Otu00277","Y","bold",0.508859281898266
"85","Otu00322",9.99530409333427e-07,"Heated",21.1571875454146,66.6666666666667,"Y","Otu00322","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00322","Saprospiraceae_uncultured_Otu00322","Saprospiraceae_Otu00322","Y","bold",3.75181855187328
"86","Otu00327",NA,"Heated",7.30921904031,53.6666666666667,NA,"Otu00327","Archaea(100)","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge","Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Otu00327","Y","bold",3.23661601782738
"91","Otu00368",0.529882713450168,"Heated",0.927914583552922,605.666666666667,"N","Otu00368","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00368","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00368","Alteromonadaceae_Otu00368","Y","bold",0.693922162031951
"98","Otu00410",0.520083181479845,"Heated",-1.99181764153086,75.6666666666667,"N","Otu00410","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Kordia","Kordia_Otu00410","Flavobacteriaceae_Kordia_Otu00410","Flavobacteriaceae_Otu00410","Y","bold",1.4402931900169
"99","Otu00419",NA,"Heated",-1.15817310642265,47.3333333333333,NA,"Otu00419","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","Litoricola_Otu00419","Litoricolaceae_Litoricola_Otu00419","Litoricolaceae_Otu00419","Y","bold",2.46391030039225
"105","Otu00457",0.805203849623125,"Heated",-1.19548344846369,0,"N","Otu00457","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00457","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00457","Rhodobacteraceae_Otu00457","Y","bold",1.77073002360878
"107","Otu00476",NA,"Heated",-0.575482223334209,0,NA,"Otu00476","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00476","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00476","Rhodobacteraceae_Otu00476","Y","bold",2.87947878729077
"108","Otu00480",0.495010006291892,"Heated",2.22280848958143,61.6666666666667,"N","Otu00480","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Cryomorphaceae","Phaeocystidibacter","Phaeocystidibacter_Otu00480","Cryomorphaceae_Phaeocystidibacter_Otu00480","Cryomorphaceae_Otu00480","Y","bold",1.52079812952211
"123","Otu00649",0.0652333153910873,"Heated",1.98575629574901,242.666666666667,"N","Otu00649","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Thalassotalea","Thalassotalea_Otu00649","Colwelliaceae_Thalassotalea_Otu00649","Colwelliaceae_Otu00649","Y","bold",0.739512662760276
"127","Otu00686",0.964754625671379,"Heated",0.234367550772022,6.33333333333333,"N","Otu00686","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00686","Alteromonadaceae_Alteromonas_Otu00686","Alteromonadaceae_Otu00686","Y","bold",1.59018266484261
"131","Otu00734",8.03846294729855e-20,"Heated",24.0914513371958,54.6666666666667,"Y","Otu00734","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00734","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00734","Alteromonadaceae_Otu00734","Y","bold",2.50545373059287
"135","Otu00802",0.82510050111837,"Heated",1.32808254272266,184.333333333333,"N","Otu00802","Bacteria(100)","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade","OM27_clade_Otu00802","Bdellovibrionaceae_OM27_clade_Otu00802","Bdellovibrionaceae_Otu00802","Y","bold",2.48058660625006
"137","Otu00823",NA,"Heated",8.23986551438737,75,NA,"Otu00823","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00823","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00823","Pseudoalteromonadaceae_Otu00823","Y","bold",3.13274200882344
"139","Otu00853",0.00679851183462581,"Heated",9.5194466402134,210.666666666667,"Y","Otu00853","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00853","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00853","Pseudoalteromonadaceae_Otu00853","Y","bold",2.74437614381399
"145","Otu01012",NA,"Heated",-0.587225751435452,60.6666666666667,NA,"Otu01012","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu01012","Alteromonadaceae_Alteromonadaceae_unclassified_Otu01012","Alteromonadaceae_Otu01012","Y","bold",1.70725584892759
"146","Otu01023",NA,"Heated",-0.687436129125664,46.6666666666667,NA,"Otu01023","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu01023","Alteromonadaceae_Alteromonadaceae_unclassified_Otu01023","Alteromonadaceae_Otu01023","Y","bold",1.71851879997721
"152","Otu01224",1.56648943195621e-06,"Heated",9.84717597443972,46,"Y","Otu01224","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu01224","Pseudoalteromonadaceae_Pseudoalteromonas_Otu01224","Pseudoalteromonadaceae_Otu01224","Y","bold",1.7936180807954
"155","Otu01296",0.000856946669370848,"Heated",10.0439419620154,43.6666666666667,"Y","Otu01296","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu01296","Pseudoalteromonadaceae_Pseudoalteromonas_Otu01296","Pseudoalteromonadaceae_Otu01296","Y","bold",2.45832196426837
"161","Otu00002",0.000834697227476572,"Bleached",1.46897061957481,12266.6666666667,"Y","Otu00002","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00002","Alteromonadaceae_Alteromonas_Otu00002","Alteromonadaceae_Otu00002","Y","bold",0.353792608899645
"167","Otu00008",0.0374773756557724,"Bleached",-0.990835057161558,2732.33333333333,"Y","Otu00008","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","OM60","OM60_Otu00008","Halieaceae_OM60_Otu00008","Halieaceae_Otu00008","Y","bold",0.349664231003549
"168","Otu00009",0.00783007319761814,"Bleached",-2.49602688565147,1661.66666666667,"Y","Otu00009","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","OM43_clade","OM43_clade_Otu00009","Methylophilaceae_OM43_clade_Otu00009","Methylophilaceae_Otu00009","Y","bold",0.7337583442814
"180","Otu00027",0.00199809521608039,"Bleached",-1.94391678443688,1907.66666666667,"Y","Otu00027","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Litoricolaceae","Litoricola","Litoricola_Otu00027","Litoricolaceae_Litoricola_Otu00027","Litoricolaceae_Otu00027","Y","bold",0.497072598611974
"190","Otu00048",0.386127348175786,"Bleached",0.591539347842743,1384,"N","Otu00048","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Aestuariibacter","Aestuariibacter_Otu00048","Alteromonadaceae_Aestuariibacter_Otu00048","Alteromonadaceae_Otu00048","Y","bold",0.364013924246995
"195","Otu00058",0.931170819571604,"Bleached",-0.482056345534437,1082,"N","Otu00058","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","NS9_marine_group_ge","NS9_marine_group_ge_Otu00058","NS9_marine_group_NS9_marine_group_ge_Otu00058","NS9_marine_group_Otu00058","Y","bold",0.887114225422566
"200","Otu00075",0.0059961361892128,"Bleached",3.699305368824,420.333333333333,"Y","Otu00075","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00075","Pseudoalteromonadaceae_Otu00075","Y","bold",1.05834002057996
"203","Otu00085",0.00440238067393965,"Bleached",3.20308326623812,652.333333333333,"Y","Otu00085","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Pseudoalteromonas_Otu00085","Pseudoalteromonadaceae_Otu00085","Y","bold",0.889821282629881
"206","Otu00101",0.00251447730887074,"Bleached",3.2942067115137,131.333333333333,"Y","Otu00101","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00101","Saprospiraceae_uncultured_Otu00101","Saprospiraceae_Otu00101","Y","bold",0.87456271475139
"215","Otu00179",0.717557413171621,"Bleached",1.00227464057108,265.666666666667,"N","Otu00179","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonadaceae_unclassified","Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Alteromonadaceae_unclassified_Otu00179","Alteromonadaceae_Otu00179","Y","bold",0.877359932763257
"216","Otu00181",0.0374773756557724,"Bleached",2.22139549894071,493,"Y","Otu00181","Bacteria(100)","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Rhodobacteraceae_unclassified_Otu00181","Rhodobacteraceae_Otu00181","Y","bold",0.790112722634479
"220","Otu00195",0.00218212264911799,"Bleached",1.62233856341164,317.333333333333,"Y","Otu00195","Bacteria(100)","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_Otu00195","Alteromonadaceae_Alteromonas_Otu00195","Alteromonadaceae_Otu00195","Y","bold",0.420636133552672
"235","Otu00277",0.11047916344647,"Bleached",1.18356412530093,212,"N","Otu00277","Bacteria(100)","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","uncultured","uncultured_Otu00277","Flavobacteriaceae_uncultured_Otu00277","Flavobacteriaceae_Otu00277","Y","bold",0.507216608633876
"244","Otu00322",6.69234920504754e-08,"Bleached",22.9620234009231,0,"Y","Otu00322","Bacteria(100)","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","uncultured","uncultured_Otu00322","Saprospiraceae_uncultured_Otu00322","Saprospiraceae_Otu00322","Y","bold",3.74604085323453
"245","Otu00327",0.0754032598761448,"Bleached",8.1936915274408,0,"N","Otu00327","Archaea(100)","Euryarchaeota","Thermoplasmata","Marine_Group_II","Marine_Group_II_fa","Marine_Group_II_ge","Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Marine_Group_II_ge_Otu00327","Marine_Group_II_fa_Otu00327","Y","bold",3.21895317881759
